Date_received,Product,Sub_product,Issue,Sub_issue,Consumer_complaint_narrative,Company_public_response,Company,State,ZIP_code,Tags,Consumer_consent_provided,Submitted_via,Date_sent_to_company,Company_response_to_consumer,Timely_response,Consumer_disputed,Complaint_ID,intent,query,response,Priority_Level,Resolution_Status,Customer_Satisfaction_Score,Agent_ID,Resolution_Time_Hours,Category,Channel_Rating,Follow_up_Required
2022-01-04 06:51:20.776155231,Car Loan,Basic,Interest Rate,Phone Call,Need help calculating my loan interest,Yes,Regional Credit Union,CA,61293,None,Yes,Phone,2022-01-05 06:51:20.776155231,Closed,Yes,No,COMP_000016,loan_assistance,Need help calculating my loan interest,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_010,71.49098925211392,Loan Assistance,4,Yes
2022-01-04 12:06:46.161232246,Fixed Deposit,Visa,Account Access,Phone Call,Need help with card activation process,Yes,XYZ Financial,CA,59115,None,No,Phone,2022-01-05 12:06:46.161232246,Closed with explanation,Yes,No,COMP_000017,card_management,Need help with card activation process,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Low,Resolved,1,AGT_033,25.297760483731953,Card Management,3,Yes
2022-01-04 17:22:11.546309261,Personal Loan,Gold,Balance Inquiry,ATM Issue,Need reminder for upcoming bill payment Please help me quickly.,Yes,XYZ Financial,MI,85353,Student,Yes,Phone,2022-01-05 17:22:11.546309261,Closed,Yes,No,COMP_000018,bill_payments,Need reminder for upcoming bill payment Please help me quickly.,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Low,Pending,1,AGT_036,4.687999104970727,Bill Payments,1,No
2022-01-04 22:37:36.931386277,Home Loan,MasterCard,Balance Inquiry,Chat,I need help with my loan EMI payment,Yes,Regional Credit Union,CA,30150,None,Yes,Web,2022-01-04 22:37:36.931386277,Closed with explanation,Yes,No,COMP_000019,loan_assistance,I need help with my loan EMI payment,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_012,76.3934946456057,Loan Assistance,3,Yes
2022-01-05 03:53:02.316463292,Current Account,Platinum,Lost Card,Phone Call,I had a bad experience at the branch,Yes,ABC Bank,FL,21130,Military,No,Email,2022-01-07 03:53:02.316463292,Closed with explanation,Yes,Yes,COMP_000020,complaint_management,I had a bad experience at the branch,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Resolved,5,AGT_075,2.988143461258821,Complaint Management,4,No
2022-01-05 09:08:27.701540308,Fixed Deposit,MasterCard,Interest Rate,ATM Issue,My card is lost and I need to block it immediately I'm very frustrated.,No,XYZ Financial,IL,98092,Older American,No,Web,2022-01-05 09:08:27.701540308,Closed,Yes,No,COMP_000021,card_management,My card is lost and I need to block it immediately I'm very frustrated.,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_031,15.771296709685556,Card Management,4,No
2022-01-05 14:23:53.086617323,Current Account,Basic,Card Block,Phone Call,Need help calculating my loan interest,Yes,National Bank,MI,40355,Older American,Yes,Phone,2022-01-05 14:23:53.086617323,Closed,Yes,No,COMP_000022,loan_assistance,Need help calculating my loan interest,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,1,AGT_038,13.759119622642391,Loan Assistance,2,Yes
2022-01-05 19:39:18.471694338,Personal Loan,Standard,Lost Card,Branch Visit,My bill payment is not reflecting in the system I'm very frustrated.,Yes,National Bank,NC,81726,None,Yes,Phone,2022-01-05 19:39:18.471694338,Closed,Yes,No,COMP_000023,bill_payments,My bill payment is not reflecting in the system I'm very frustrated.,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Low,Escalated,4,AGT_024,23.230392689735453,Bill Payments,2,Yes
2022-01-06 00:54:43.856771354,Debit Card,Standard,Lost Card,Online Issue,"My card was damaged, need a replacement",Yes,Digital Bank Corp,PA,48088,Student,No,Phone,2022-01-06 00:54:43.856771354,Closed with explanation,Yes,No,COMP_000024,card_management,"My card was damaged, need a replacement",Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,1,AGT_066,2.0729638379164497,Card Management,2,No
2022-01-06 06:10:09.241848369,Savings Account,Visa,Transaction Dispute,Chat,Can you help me pay my utility bills,Yes,Regional Credit Union,MI,14158,Student,No,Phone,2022-01-06 06:10:09.241848369,Closed with explanation,Yes,No,COMP_000025,bill_payments,Can you help me pay my utility bills,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,High,Pending,1,AGT_069,196.138694347634,Bill Payments,3,No
2022-01-06 11:25:34.626925385,Debit Card,Rupay,Balance Inquiry,Phone Call,My bill payment is not reflecting in the system,Yes,ABC Bank,TX,63932,None,Yes,Phone,2022-01-07 11:25:34.626925385,Closed with explanation,Yes,No,COMP_000026,bill_payments,My bill payment is not reflecting in the system,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Medium,Pending,3,AGT_050,45.882482671403615,Bill Payments,4,No
2022-01-06 16:41:00.012002400,Current Account,Gold,Bill Payment,Chat,I want to make partial loan prepayment,No,XYZ Financial,TX,69494,Older American,Yes,Web,2022-01-07 16:41:00.012002400,Closed,Yes,Yes,COMP_000027,loan_assistance,I want to make partial loan prepayment,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Low,Resolved,1,AGT_088,57.91669904369276,Loan Assistance,2,No
2022-01-06 21:56:25.397079415,Credit Card,MasterCard,Balance Inquiry,Branch Visit,I want to set up automatic bill payments,Yes,Regional Credit Union,NY,83477,None,Yes,Phone,2022-01-08 21:56:25.397079415,Closed with explanation,Yes,Yes,COMP_000028,bill_payments,I want to set up automatic bill payments,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,High,Resolved,4,AGT_004,10.179343579075326,Bill Payments,3,No
2022-01-07 03:11:50.782156431,Personal Loan,Rupay,Lost Card,Phone Call,Want to know my outstanding loan amount,Yes,XYZ Financial,PA,89252,None,Yes,Web,2022-01-08 03:11:50.782156431,Closed with explanation,Yes,No,COMP_000029,loan_assistance,Want to know my outstanding loan amount,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,High,Pending,1,AGT_086,2.0470903290320224,Loan Assistance,3,No
2022-01-07 08:27:16.167233446,Fixed Deposit,Visa,Card Block,Phone Call,Unable to pay my credit card bill online This is urgent.,No,XYZ Financial,OH,77661,None,Yes,Web,2022-01-09 08:27:16.167233446,Closed,No,No,COMP_000030,bill_payments,Unable to pay my credit card bill online This is urgent.,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_038,18.254563177326958,Bill Payments,1,No
2022-01-07 13:42:41.552310462,Credit Card,Gold,Loan Payment,ATM Issue,The staff was very rude to me,Yes,ABC Bank,CA,13596,None,Yes,Email,2022-01-07 13:42:41.552310462,Closed with explanation,Yes,No,COMP_000031,complaint_management,The staff was very rude to me,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_083,11.425394934644192,Complaint Management,5,No
2022-01-07 18:58:06.937387477,Car Loan,Basic,Lost Card,Online Issue,I want to unblock my card that was blocked yesterday I've been waiting for days.,Yes,Regional Credit Union,PA,11605,Military,Yes,Web,2022-01-08 18:58:06.937387477,Closed,Yes,No,COMP_000032,card_management,I want to unblock my card that was blocked yesterday I've been waiting for days.,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,High,Resolved,5,AGT_036,141.55605692265223,Card Management,2,No
2022-01-08 00:13:32.322464492,Savings Account,Platinum,Loan Payment,Mobile App,"My loan payment is overdue, what should I do This is urgent.",No,XYZ Financial,GA,56514,None,Yes,Mobile App,2022-01-10 00:13:32.322464492,Closed with explanation,Yes,No,COMP_000033,loan_assistance,"My loan payment is overdue, what should I do This is urgent.",Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Low,Pending,5,AGT_011,64.52300427827977,Loan Assistance,5,No
2022-01-08 05:28:57.707541508,Debit Card,Premium,Bill Payment,ATM Issue,Please provide my account balance details,No,Regional Credit Union,GA,44387,Student,Yes,Email,2022-01-10 05:28:57.707541508,Closed with explanation,Yes,No,COMP_000034,balance_inquiry,Please provide my account balance details,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,High,Pending,4,AGT_050,3.1854850040665332,Balance Inquiry,3,No
2022-01-08 10:44:23.092618523,Fixed Deposit,Premium,Account Access,Mobile App,My issue was not resolved properly This is the third time I'm calling.,No,National Bank,TX,96740,Military,Yes,Phone,2022-01-09 10:44:23.092618523,Closed with explanation,No,No,COMP_000035,complaint_management,My issue was not resolved properly This is the third time I'm calling.,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Low,Resolved,3,AGT_038,18.625270808853617,Complaint Management,1,Yes
2022-01-08 15:59:48.477695539,Car Loan,Platinum,Account Access,Mobile App,How much money do I have in my account,Yes,Digital Bank Corp,OH,93122,Student,Yes,Email,2022-01-08 15:59:48.477695539,Closed with explanation,Yes,No,COMP_000036,balance_inquiry,How much money do I have in my account,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Low,Pending,5,AGT_027,32.696833484841875,Balance Inquiry,4,No
2022-01-08 21:15:13.862772554,Credit Card,Basic,Loan Payment,Phone Call,I need to activate my new credit card,Yes,National Bank,GA,74435,Student,Yes,Web,2022-01-10 21:15:13.862772554,Closed with explanation,Yes,Yes,COMP_000037,card_management,I need to activate my new credit card,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_043,21.932809997473704,Card Management,4,Yes
2022-01-09 02:30:39.247849569,Fixed Deposit,Gold,Fees,Email,"My card was damaged, need a replacement",Yes,XYZ Financial,GA,27368,Student,Yes,Phone,2022-01-09 02:30:39.247849569,In progress,Yes,No,COMP_000038,card_management,"My card was damaged, need a replacement",Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,3,AGT_029,2.6421728581169246,Card Management,1,No
2022-01-09 07:46:04.632926585,Savings Account,Standard,Loan Payment,Chat,I want to know my current account balance,No,Digital Bank Corp,GA,73374,Student,Yes,Web,2022-01-09 07:46:04.632926585,Closed with explanation,Yes,No,COMP_000039,balance_inquiry,I want to know my current account balance,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Medium,Escalated,2,AGT_007,10.226555663003886,Balance Inquiry,2,No
2022-01-09 13:01:30.018003600,Current Account,Standard,Loan Payment,Phone Call,Need assistance with loan prepayment This is urgent.,No,ABC Bank,PA,29097,Older American,Yes,Web,2022-01-09 13:01:30.018003600,Closed with explanation,Yes,Yes,COMP_000040,loan_assistance,Need assistance with loan prepayment This is urgent.,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Low,Resolved,1,AGT_096,1.6663692198781002,Loan Assistance,3,Yes
2022-01-09 18:16:55.403080616,Debit Card,Visa,Card Block,Chat,I need help with my loan EMI payment I've been waiting for days.,Yes,National Bank,CA,36737,None,Yes,Web,2022-01-09 18:16:55.403080616,Closed with explanation,Yes,No,COMP_000041,loan_assistance,I need help with my loan EMI payment I've been waiting for days.,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Low,Resolved,1,AGT_087,92.63935653680883,Loan Assistance,2,No
2022-01-09 23:32:20.788157631,Current Account,Premium,Account Access,Email,Can you tell me my available balance I've been waiting for days.,Yes,Regional Credit Union,TX,49986,None,Yes,Web,2022-01-10 23:32:20.788157631,Closed,Yes,No,COMP_000042,balance_inquiry,Can you tell me my available balance I've been waiting for days.,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Low,Resolved,2,AGT_007,24.073193007801123,Balance Inquiry,1,Yes
2022-01-10 04:47:46.173234646,Home Loan,MasterCard,Transaction Dispute,Online Issue,Need assistance with loan prepayment,No,National Bank,MI,25358,Student,Yes,Web,2022-01-10 04:47:46.173234646,Closed with explanation,Yes,No,COMP_000043,loan_assistance,Need assistance with loan prepayment,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Low,Resolved,2,AGT_086,36.31276452208213,Loan Assistance,1,No
2022-01-10 10:03:11.558311662,Credit Card,MasterCard,Card Block,Online Issue,I need information about my home loan,Yes,XYZ Financial,NC,70774,Military,Yes,Phone,2022-01-11 10:03:11.558311662,Closed with explanation,Yes,No,COMP_000044,loan_assistance,I need information about my home loan,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,High,Escalated,5,AGT_042,20.62177605283574,Loan Assistance,2,No
2022-01-10 15:18:36.943388677,Current Account,Premium,Fees,Email,Please provide my account balance details,Yes,ABC Bank,PA,39402,None,Yes,Phone,2022-01-12 15:18:36.943388677,Closed with explanation,Yes,No,COMP_000045,balance_inquiry,Please provide my account balance details,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Low,Resolved,2,AGT_054,32.148938170175114,Balance Inquiry,3,Yes
2022-01-10 20:34:02.328465693,Fixed Deposit,Rupay,Card Unblock,Online Issue,Need help calculating my loan interest I've been waiting for days.,No,Digital Bank Corp,PA,38769,Student,No,Web,2022-01-10 20:34:02.328465693,Closed with explanation,Yes,No,COMP_000046,loan_assistance,Need help calculating my loan interest I've been waiting for days.,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Low,Pending,3,AGT_098,23.433421888863133,Loan Assistance,2,Yes
2022-01-11 01:49:27.713542708,Credit Card,Premium,Account Access,ATM Issue,I need to verify my account balance,Yes,Digital Bank Corp,TX,38145,None,Yes,Web,2022-01-12 01:49:27.713542708,Closed with explanation,Yes,No,COMP_000047,balance_inquiry,I need to verify my account balance,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Low,Pending,1,AGT_055,17.680381843334324,Balance Inquiry,4,No
2022-01-11 07:04:53.098619723,Credit Card,Gold,Lost Card,Email,What's my remaining loan tenure,Yes,ABC Bank,NY,72552,None,Yes,Web,2022-01-12 07:04:53.098619723,Closed with explanation,Yes,No,COMP_000048,loan_assistance,What's my remaining loan tenure,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,High,Resolved,2,AGT_007,0.8288525650610835,Loan Assistance,5,No
2022-01-11 12:20:18.483696739,Current Account,Premium,Transaction Dispute,Chat,What's my remaining loan tenure,No,Digital Bank Corp,NY,27850,None,Yes,Phone,2022-01-13 12:20:18.483696739,Closed with explanation,Yes,No,COMP_000049,loan_assistance,What's my remaining loan tenure,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_039,9.090249154024278,Loan Assistance,1,No
2022-01-11 17:35:43.868773754,Car Loan,MasterCard,Transaction Dispute,Chat,Unable to see my current balance on mobile app,Yes,XYZ Financial,OH,85532,None,No,Email,2022-01-13 17:35:43.868773754,Closed with explanation,Yes,Yes,COMP_000050,balance_inquiry,Unable to see my current balance on mobile app,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,High,Resolved,4,AGT_010,2.308315835038988,Balance Inquiry,4,No
2022-01-11 22:51:09.253850770,Fixed Deposit,Basic,Transaction Dispute,Branch Visit,Need balance information for my savings account,No,Regional Credit Union,NC,67775,Older American,No,Phone,2022-01-11 22:51:09.253850770,Closed with explanation,Yes,No,COMP_000051,balance_inquiry,Need balance information for my savings account,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Low,Resolved,4,AGT_070,96.86198743324137,Balance Inquiry,3,No
2022-01-12 04:06:34.638927785,Home Loan,Rupay,Account Access,Branch Visit,I want to temporarily block my card for security,No,Regional Credit Union,TX,44157,Military,Yes,Web,2022-01-12 04:06:34.638927785,In progress,Yes,No,COMP_000052,card_management,I want to temporarily block my card for security,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,1,AGT_099,21.827976692817362,Card Management,1,Yes
2022-01-12 09:22:00.024004800,Savings Account,Visa,Account Access,Mobile App,Need to report my stolen credit card,No,Regional Credit Union,GA,43660,None,Yes,Phone,2022-01-13 09:22:00.024004800,Closed with explanation,Yes,No,COMP_000053,card_management,Need to report my stolen credit card,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_076,0.8655590624791784,Card Management,1,No
2022-01-12 14:37:25.409081816,Current Account,Basic,Account Access,Mobile App,Want to know my outstanding loan amount,No,XYZ Financial,NY,19903,None,Yes,Mobile App,2022-01-12 14:37:25.409081816,Closed with explanation,Yes,No,COMP_000054,loan_assistance,Want to know my outstanding loan amount,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,3,AGT_077,7.455555494425697,Loan Assistance,3,No
2022-01-12 19:52:50.794158831,Car Loan,Rupay,Interest Rate,Phone Call,I am not satisfied with the previous resolution This is urgent.,Yes,Digital Bank Corp,PA,63947,Military,No,Mobile App,2022-01-14 19:52:50.794158831,Closed,Yes,No,COMP_000055,complaint_management,I am not satisfied with the previous resolution This is urgent.,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Escalated,2,AGT_100,19.496162723856287,Complaint Management,5,No
2022-01-13 01:08:16.179235847,Fixed Deposit,Gold,Transaction Dispute,Branch Visit,My card is lost and I need to block it immediately,Yes,Regional Credit Union,TX,11007,Older American,Yes,Phone,2022-01-14 01:08:16.179235847,Closed with explanation,Yes,No,COMP_000056,card_management,My card is lost and I need to block it immediately,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,High,Escalated,4,AGT_068,8.593257994277756,Card Management,1,No
2022-01-13 06:23:41.564312862,Savings Account,MasterCard,Account Access,Mobile App,I want to check my checking account balance,No,Regional Credit Union,FL,97266,None,Yes,Web,2022-01-13 06:23:41.564312862,Closed with explanation,Yes,No,COMP_000057,balance_inquiry,I want to check my checking account balance,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_029,69.30816944986711,Balance Inquiry,3,No
2022-01-13 11:39:06.949389877,Current Account,Basic,Card Unblock,Email,I want to set up automatic bill payments,Yes,Digital Bank Corp,CA,54413,Military,Yes,Mobile App,2022-01-13 11:39:06.949389877,Closed,Yes,No,COMP_000058,bill_payments,I want to set up automatic bill payments,Thank you for contacting us regarding bill payments. We will assist you with this matter promptly.,Low,Resolved,4,AGT_038,6.2713394996133704,Bill Payments,5,Yes
2022-01-13 16:54:32.334466893,Debit Card,Gold,Account Access,Branch Visit,Can you tell me my available balance,Yes,ABC Bank,IL,18711,None,No,Email,2022-01-15 16:54:32.334466893,Closed,Yes,No,COMP_000059,balance_inquiry,Can you tell me my available balance,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Low,Resolved,1,AGT_094,2.9946999401761927,Balance Inquiry,1,No
2022-01-13 22:09:57.719543908,Fixed Deposit,Visa,Loan Payment,Email,I had a bad experience at the branch,Yes,XYZ Financial,GA,92503,Student,Yes,Web,2022-01-14 22:09:57.719543908,Closed,Yes,No,COMP_000060,complaint_management,I had a bad experience at the branch,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Low,Resolved,1,AGT_033,73.20383270548461,Complaint Management,1,Yes
2022-01-14 03:25:23.104620924,Credit Card,Basic,Loan Payment,Email,What's my remaining loan tenure This is the third time I'm calling.,Yes,ABC Bank,MI,84663,Older American,Yes,Phone,2022-01-14 03:25:23.104620924,Closed,Yes,No,COMP_000061,loan_assistance,What's my remaining loan tenure This is the third time I'm calling.,Thank you for contacting us regarding loan assistance. We will assist you with this matter promptly.,Medium,Resolved,2,AGT_046,28.356947042014305,Loan Assistance,2,Yes
2022-01-14 08:40:48.489697939,Car Loan,Rupay,Loan Payment,Online Issue,I am not satisfied with the previous resolution,No,ABC Bank,NY,36289,None,Yes,Phone,2022-01-16 08:40:48.489697939,Closed with explanation,No,No,COMP_000062,complaint_management,I am not satisfied with the previous resolution,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Low,Resolved,3,AGT_041,4.29902508172003,Complaint Management,3,No
2022-01-14 13:56:13.874774955,Credit Card,Premium,Card Block,ATM Issue,Not happy with the service quality,Yes,National Bank,GA,38380,None,Yes,Phone,2022-01-15 13:56:13.874774955,Closed with explanation,Yes,No,COMP_000063,complaint_management,Not happy with the service quality,Thank you for contacting us regarding complaint management. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_074,12.390625254602554,Complaint Management,5,Yes
2022-01-14 19:11:39.259851970,Savings Account,Premium,Fees,Phone Call,How much money do I have in my account,No,Regional Credit Union,FL,35963,None,Yes,Phone,2022-01-16 19:11:39.259851970,Closed with explanation,Yes,No,COMP_000064,balance_inquiry,How much money do I have in my account,Thank you for contacting us regarding balance inquiry. We will assist you with this matter promptly.,Medium,Pending,2,AGT_036,13.144768832496595,Balance Inquiry,2,No
2022-01-15 00:27:04.644928985,Personal Loan,Premium,Transaction Dispute,Phone Call,Please block my card as it's been stolen,No,Digital Bank Corp,MI,29975,Student,Yes,Phone,2022-01-16 00:27:04.644928985,In progress,Yes,No,COMP_000065,card_management,Please block my card as it's been stolen,Thank you for contacting us regarding card management. We will assist you with this matter promptly.,Medium,Resolved,4,AGT_014,17.357516858426834,Card Management,1,No
